harmonics,rms_error
196,0.056539973323061536
197,0.05636707046349945
198,0.05636707046349945
199,0.05619735005809818
200,0.05619735005809818
201,0.05603073043887927
202,0.05603073043887927
203,0.055867132788057716
204,0.055867132788057716
205,0.055706481012240676
206,0.055706481012240676
207,0.05554870162332904
208,0.05554870162332904
209,0.055393723625702544
210,0.055393723625702544
211,0.05524147840930263
212,0.05524147840930263
213,0.055091899648251515
214,0.055091899648251515
215,0.054944923204672896
216,0.054944923204672896
217,0.05480048703740208
218,0.05480048703740208
219,0.054658531115295235
220,0.054658531115295235
221,0.05451899733486632
222,0.05451899733486632
223,0.05438182944199965
224,0.05438182944199965
225,0.05424697295750186
226,0.05424697295750186
227,0.05411437510627305
228,0.05411437510627305
229,0.053983984749891585
230,0.053983984749891585
231,0.05385575232242031
232,0.05385575232242031
233,0.053729629769253245
234,0.053729629769253245
235,0.05360557048883577
236,0.05360557048883577
237,0.05348352927709808
238,0.05348352927709808
239,0.053363462274456985
240,0.053363462274456985
241,0.05324532691524502
242,0.05324532691524502
243,0.053129081879437434
244,0.053129081879437434
245,0.05301468704655518
246,0.05301468704655518
247,0.052902103451628865
248,0.052902103451628865
249,0.0527912932431157
250,0.0527912932431157
251,0.0526822196426683
252,0.0526822196426683
253,0.05257484690666044
254,0.05257484690666044
255,0.0524691402893784
256,0.0524691402893784
257,0.05236506600779573
258,0.05236506600779573
259,0.05226259120784959
260,0.05226259120784959
261,0.05216168393214543
262,0.05216168393214543
263,0.052062313089017986
264,0.052062313089017986
265,0.05196444842288262
266,0.05196444842288262
267,0.051868060485813605
268,0.051868060485813605
269,0.05177312061029036
270,0.05177312061029036
271,0.051679600883054885
272,0.051679600883054885
273,0.051587474120027815
274,0.051587474120027815
275,0.051496713842232734
276,0.051496713842232734
277,0.05140729425268126
278,0.05140729425268126
279,0.05131919021417384
280,0.05131919021417384
281,0.05123237722797449
282,0.05123237722797449
283,0.05114683141331779
284,0.05114683141331779
285,0.051062529487712505
286,0.051062529487712505
287,0.05097944874800201
288,0.05097944874800201
289,0.050897567052151475
290,0.050897567052151475
291,0.05081686280172597
292,0.05081686280172597
293,0.05073731492503008
294,0.05073731492503008
295,0.05065890286088056
296,0.05065890286088056
297,0.05058160654298235
298,0.05058160654298235
299,0.05050540638488314
300,0.05050540638488314
301,0.050430283265480956
302,0.050430283265480956
303,0.050356218515060704
304,0.050356218515060704
305,0.05028319390183723
306,0.05028319390183723
307,0.050211191618984005
308,0.050211191618984005
309,0.050140194272125335
310,0.050140194272125335
311,0.05007018486727469
312,0.05007018486727469
313,0.0500011467991987
314,0.0500011467991987
315,0.04993306384019026
316,0.04993306384019026
317,0.049865920129233944
318,0.049865920129233944
319,0.04979970016154699
320,0.04979970016154699
321,0.04973438877848122
322,0.04973438877848122
323,0.04966997115777088
324,0.04966997115777088
325,0.04960643280411285
326,0.04960643280411285
327,0.04954375954006563
328,0.04954375954006563
329,0.04948193749725509
330,0.04948193749725509
331,0.04942095310787347
332,0.04942095310787347
333,0.04936079309646251
334,0.04936079309646251
335,0.0493014444719668
336,0.0493014444719668
337,0.049242894520049
338,0.049242894520049
339,0.04918513079565648
340,0.04918513079565648
341,0.049128141115828736
342,0.049128141115828736
343,0.04907191355273704
344,0.04907191355273704
345,0.04901643642694882
346,0.04901643642694882
347,0.04896169830090558
348,0.04896169830090558
349,0.04890768797260859
350,0.04890768797260859
351,0.04885439446950395
352,0.04885439446950395
353,0.04880180704255941
354,0.04880180704255941
355,0.048749915160526326
356,0.048749915160526326
357,0.04869870850437967
358,0.04869870850437967
359,0.048648176961929204
360,0.048648176961929204
361,0.04859831062259717
362,0.04859831062259717
363,0.048549099772354165
364,0.048549099772354165
365,0.048500534888810044
366,0.048500534888810044
367,0.04845260663645219
368,0.04845260663645219
369,0.04840530586202746
370,0.04840530586202746
371,0.04835862359006154
372,0.04835862359006154
373,0.04831255101851219
374,0.04831255101851219
375,0.04826707951455031
376,0.04826707951455031
377,0.04822220061046603
378,0.04822220061046603
379,0.0481779059996937
380,0.0481779059996937
381,0.048134187532952656
382,0.048134187532952656
383,0.048091037214500656
384,0.048091037214500656
385,0.048048447198494215
386,0.048048447198494215
387,0.04800640978545381
388,0.04800640978545381
389,0.047964917418829994
390,0.047964917418829994
391,0.047923962681666314
392,0.047923962681666314
393,0.04788353829335716
394,0.04788353829335716
395,0.047843637106496265
396,0.047843637106496265
397,0.04780425210381337
398,0.04780425210381337
399,0.04776537639519634
400,0.04776537639519634
